episode,timestep,reward
36,800,-99.5972
73,1600,-99.9527
110,2400,-97.0946
147,3200,-91.5608
185,4000,-91.9079
223,4800,-89.0724
259,5600,-93.8681
295,6400,-96.9861
330,7200,-102.4071
367,8000,-100.0405
404,8800,-82.9189
441,9600,-91.3784
479,10400,-89.375
516,11200,-97.1081
552,12000,-96.75
588,12800,-102.6667
626,13600,-99.9342
663,14400,-94.0676
699,15200,-96.9306
736,16000,-99.6892
773,16800,-94.2027
810,17600,-97.0203
848,18400,-86.3947
883,19200,-93.2643
920,20000,-91.3311
956,20800,-93.7292
993,21600,-97.0608
1028,22400,-87.2714
1063,23200,-104.9357
1099,24000,-93.5417
1136,24800,-97.1689
1172,25600,-90.75
1210,26400,-83.4605
1243,27200,-107.9924
1279,28000,-90.75
1316,28800,-88.6689
1352,29600,-96.6389
1387,30400,-93.1429
1421,31200,-101.875
1456,32000,-102.1929
1491,32800,-96.2071
1525,33600,-108.0368
1557,34400,-101.2969
1593,35200,-99.5486
1625,36000,-101.1406
1659,36800,-98.5956
1694,37600,-87.1143
1727,38400,-101.4545
1761,39200,-86.2059
1796,40000,-90.1429
1828,40800,-94.4844
1861,41600,-101.5227
1896,42400,-81.1571
1927,43200,-100.6935
1958,44000,-104.3065
1990,44800,-84.8203
2021,45600,-110.8468
2053,46400,-87.9844
2085,47200,-98.1719
2116,48000,-97.4435
2147,48800,-80.4919
2178,49600,-94.1129
