episode,timestep,reward
36,800,-2002.2292
72,1600,-1995.5278
108,2400,-2084.7292
147,3200,-1865.7628
184,4000,-2194.8041
222,4800,-1635.0197
262,5600,-1697.9438
299,6400,-2174.5541
335,7200,-2005.6597
374,8000,-1660.0449
411,8800,-1965.4054
448,9600,-2008.9662
483,10400,-2133.1214
502,11200,-3220.7895
539,12000,-1938.1351
577,12800,-2026.75
612,13600,-2081.05
650,14400,-1947.5132
688,15200,-1753.9408
723,16000,-2208.6786
760,16800,-1801.4189
798,17600,-1690.1711
835,18400,-1944.4932
875,19200,-1402.2125
912,20000,-1805.0676
948,20800,-2003.6944
985,21600,-1950.1959
1020,22400,-2084.2071
1055,23200,-2135.2071
1092,24000,-1943.1081
1128,24800,-1785.2778
1167,25600,-1646.2308
1205,26400,-1839.0461
1240,27200,-1931.7357
1277,28000,-1907.9392
1314,28800,-2066.0068
1351,29600,-1874.3716
1389,30400,-1821.5461
1426,31200,-1928.9932
1461,32000,-1996.9
1496,32800,-2157.1714
1534,33600,-1757.5329
1568,34400,-2214.625
1605,35200,-1618.7027
1642,36000,-1563.0068
1678,36800,-1603.4514
1713,37600,-1856.9714
1747,38400,-2058.6103
1782,39200,-1924.9571
1817,40000,-1907.0786
1851,40800,-1910.75
1889,41600,-1485.5395
1926,42400,-1644.6689
1960,43200,-1867.6765
1997,44000,-1622.4932
2031,44800,-1861.7426
2065,45600,-1852.4779
2100,46400,-1590.9357
2135,47200,-1813.05
2171,48000,-1614.6667
2205,48800,-1554.2279
2242,49600,-971.9189
