episode,timestep,reward
40,800,181.4125
77,1600,174.9797
115,2400,139.1513
152,3200,115.5068
189,4000,86.1824
226,4800,85.6351
264,5600,80.6053
301,6400,26.3986
339,7200,167.3882
377,8000,138.5658
414,8800,86.1014
451,9600,55.8176
490,10400,132.4231
526,11200,29.7153
563,12000,56.3851
600,12800,115.3041
638,13600,255.125
676,14400,167.6053
715,15200,245.3846
752,16000,145.8108
788,16800,60.25
825,17600,26.2838
862,18400,115.7297
899,19200,55.7095
936,20000,145.2973
974,20800,109.8487
1011,21600,175.0135
1049,22400,167.9342
1085,23200,183.0069
1122,24000,265.0338
1157,24800,159.7357
1192,25600,65.6857
1228,26400,152.5556
1265,27200,86.2162
1302,28000,294.7568
1338,28800,183.0417
1372,29600,135.75
1406,30400,38.4412
1441,31200,97.1786
1476,32000,222.9
1510,32800,135.6765
1544,33600,103.3603
1582,34400,342.6908
1617,35200,191.6929
1652,36000,223.2071
1687,36800,191.9143
1720,37600,75.8712
1757,38400,294.7838
1794,39200,324.3851
1831,40000,295.0541
1865,40800,103.5956
1897,41600,81.6406
1933,42400,306.2986
1968,43200,191.7357
2003,44000,254.6857
2038,44800,223.6286
2073,45600,285.8929
2108,46400,192.1071
2144,47200,336.6181
2178,48000,135.4632
2215,48800,354.9459
2249,49600,265.4118
