episode,timestep,reward
13,800,-4457.0769
28,1600,-3872.1533
43,2400,-3860.4733
57,3200,-5191.9
68,4000,-3054.3364
85,4800,-2834.2647
89,5600,-1773.375
106,6400,-826.4
121,7200,-3197.1533
135,8000,-3077.5857
150,8800,-4541.1867
166,9600,-2684.3875
176,10400,-3820.12
193,11200,-4594.4
209,12000,-3952.5312
223,12800,-3780.9571
235,13600,-4394.3917
245,14400,-2831.13
253,15200,-2248.2
255,16000,1654.0
270,16800,-4294.5
283,17600,-5228.4385
297,18400,-3064.6143
313,19200,-3331.825
321,20000,-4129.8875
329,20800,-1001.3375
344,21600,-3211.1133
353,22400,-2562.1333
368,23200,-3868.92
379,24000,-5277.1273
394,24800,-2529.9867
403,25600,-1468.6778
415,26400,-2751.6167
427,27200,-3576.9083
442,28000,-3872.7267
456,28800,-3078.2857
470,29600,-4507.0071
484,30400,-3795.9714
496,31200,-2735.925
508,32000,-4421.4917
522,32800,-3789.1286
525,33600,-2792.1667
536,34400,-4364.4091
546,35200,-5283.3
550,36000,521.65
560,36800,-4315.25
568,37600,-4104.375
574,38400,-3032.4333
580,39200,364.9833
586,40000,316.1
589,40800,-786.4
593,41600,-3390.075
597,42400,-920.8
602,43200,-2599.1
605,44000,-3997.0
607,44800,-1533.5
612,45600,-2716.64
616,46400,-4547.075
620,47200,-1935.475
622,48000,-3658.35
627,48800,-4695.08
631,49600,-4495.15
