episode,timestep,reward
36,800,-4330.75
73,1600,-4353.1824
111,2400,-3447.3947
149,3200,-3633.0329
185,4000,-4134.875
222,4800,-3972.8649
259,5600,-3785.5338
297,6400,-3448.5921
335,7200,-4002.6908
372,8000,-3592.2095
412,8800,-3531.5188
449,9600,-3972.6554
486,10400,-3782.0068
524,11200,-3446.4408
559,12000,-4109.4929
597,12800,-3260.8816
635,13600,-3818.7763
671,14400,-4332.8958
707,15200,-4135.8333
746,16000,-2406.9808
783,16800,-3023.1959
821,17600,-3263.8092
857,18400,-3552.4375
893,19200,-3355.3264
933,20000,-2121.7188
969,20800,-3941.9514
1003,21600,-4495.4853
1038,22400,-4710.3357
1073,23200,-4510.5286
1107,24000,-4701.3088
1142,24800,-3707.8214
1179,25600,-3021.9595
1213,26400,-4079.6691
1246,27200,-4903.0227
1281,28000,-4109.5
1315,28800,-3872.7647
1348,29600,-4264.3258
1382,30400,-4081.1397
1418,31200,-2768.375
1456,32000,-3634.5987
1491,32800,-3709.15
1529,33600,-2892.875
1564,34400,-2703.15
1603,35200,-2769.8654
1639,36000,-3161.9306
1676,36800,-2834.2162
1713,37600,-2833.6892
1750,38400,-3025.0
1789,39200,-2410.0641
1826,40000,-2263.3649
1863,40800,-2263.8514
1898,41600,-3509.3929
1935,42400,-2455.0135
1972,43200,-3023.4865
2008,44000,-2965.6875
2044,44800,-2770.4722
2079,45600,-3307.3571
2115,46400,-2573.2292
2150,47200,-2703.0571
2188,48000,-1596.9605
2225,48800,-1500.1081
2259,49600,-3253.0074
