episode,timestep,reward
5,800,659.8
9,1600,270.0
12,2400,126.3333
20,3200,52.0
27,4000,105.4286
33,4800,162.0
41,5600,386.125
51,6400,567.4
68,7200,305.0588
83,8000,579.8
96,8800,773.0
112,9600,326.4375
124,10400,476.25
140,11200,743.9375
147,12000,586.8571
154,12800,438.2857
157,13600,47.0
173,14400,536.0
187,15200,162.4286
190,16000,53.6667
205,16800,580.6
219,17600,315.0
232,18400,766.3077
247,19200,653.8
266,20000,840.3158
281,20800,580.9333
303,21600,864.0909
325,22400,813.6364
345,23200,848.9
354,24000,681.5556
366,24800,755.9167
382,25600,883.4375
405,26400,725.087
430,27200,747.24
450,28000,798.4
474,28800,918.6667
504,29600,862.9333
531,30400,644.3704
556,31200,748.48
583,32000,848.5556
604,32800,910.1429
626,33600,912.6364
649,34400,917.0435
669,35200,795.4
695,36000,841.7308
722,36800,808.2963
748,37600,799.5769
775,38400,807.2593
802,39200,767.1111
832,40000,899.4333
867,40800,663.2286
903,41600,824.9722
931,42400,775.4286
962,43200,866.871
989,44000,889.2222
1017,44800,853.3929
1050,45600,776.2424
1079,46400,820.5862
1106,47200,848.1111
1134,48000,814.7143
1158,48800,829.5833
1183,49600,923.64
