episode,timestep,reward
37,800,21.4595
80,1600,18.3488
112,2400,25.1875
142,3200,26.6333
173,4000,25.3871
203,4800,27.3333
224,5600,38.1429
244,6400,39.3
261,7200,45.8235
274,8000,62.7692
289,8800,52.4667
298,9600,91.5556
305,10400,106.7143
311,11200,108.3333
317,12000,145.5
322,12800,186.0
327,13600,156.0
332,14400,150.0
335,15200,214.6667
340,16000,175.4
343,16800,245.3333
346,17600,282.0
349,18400,276.0
352,19200,297.0
354,20000,317.5
358,20800,234.0
361,21600,250.0
364,22400,284.6667
366,23200,337.5
369,24000,317.0
371,24800,396.5
374,25600,228.0
376,26400,400.0
378,27200,356.5
381,28000,289.0
383,28800,356.5
385,29600,387.5
388,30400,338.0
390,31200,268.0
393,32000,321.0
395,32800,350.5
398,33600,357.3333
400,34400,400.0
402,35200,358.0
404,36000,390.5
406,36800,399.5
408,37600,400.0
410,38400,400.0
414,39200,185.0
419,40000,160.6
422,40800,228.6667
425,41600,341.6667
427,42400,400.0
429,43200,400.0
431,44000,348.5
435,44800,243.75
437,45600,391.0
439,46400,373.0
441,47200,400.0
443,48000,400.0
445,48800,352.0
449,49600,186.5
452,50400,285.6667
454,51200,371.0
457,52000,315.0
459,52800,400.0
462,53600,216.6667
465,54400,263.3333
467,55200,400.0
469,56000,374.5
471,56800,400.0
473,57600,400.0
475,58400,400.0
478,59200,323.6667
480,60000,389.0
482,60800,400.0
484,61600,371.0
486,62400,400.0
488,63200,390.5
490,64000,385.0
492,64800,400.0
494,65600,400.0
496,66400,400.0
498,67200,400.0
501,68000,300.3333
503,68800,400.0
505,69600,387.0
507,70400,400.0
509,71200,400.0
511,72000,373.5
513,72800,400.0
515,73600,400.0
517,74400,400.0
519,75200,320.5
522,76000,349.3333
524,76800,325.5
526,77600,399.5
528,78400,394.0
530,79200,400.0
533,80000,334.6667
535,80800,334.5
537,81600,400.0
539,82400,400.0
541,83200,400.0
543,84000,400.0
545,84800,400.0
548,85600,305.3333
551,86400,278.0
553,87200,400.0
555,88000,400.0
557,88800,336.0
559,89600,322.0
561,90400,400.0
563,91200,400.0
565,92000,400.0
567,92800,400.0
570,93600,326.0
573,94400,325.0
575,95200,400.0
577,96000,400.0
579,96800,224.0
582,97600,363.3333
584,98400,400.0
586,99200,400.0
588,100000,400.0
